game_id,team1_id,team2_id,season,team1_seed,team2_seed,team1_position,team2_position,strongseed,weakseed,team1_region,team2_region,slot,host,host_lat,host_long,team1_teamname,team2_teamname,team1_coach_id,team1_coach_name,team1_pt_school_ncaa,team1_pt_overall_ncaa,team1_pt_school_s16,team1_pt_overall_s16,team1_pt_school_ff,team1_pt_overall_ff,team1_pt_career_school_wins,team1_pt_career_school_losses,team1_pt_career_overall_losses,team1_pt_team_season_wins,team1_pt_team_season_losses,team1_pt_coach_season_wins,team1_pt_coach_season_losses,team1_pt_career_overall_wins,team2_coach_id,team2_coach_name,team2_pt_school_ncaa,team2_pt_overall_ncaa,team2_pt_school_s16,team2_pt_overall_s16,team2_pt_school_ff,team2_pt_overall_ff,team2_pt_career_school_wins,team2_pt_career_school_losses,team2_pt_career_overall_losses,team2_pt_team_season_wins,team2_pt_team_season_losses,team2_pt_coach_season_wins,team2_pt_coach_season_losses,team2_pt_career_overall_wins,team1_fg2pct,team1_fg3pct,team1_ftpct,team1_blockpct,team1_oppfg2pct,team1_oppfg3pct,team1_oppftpct,team1_oppblockpct,team1_f3grate,team1_oppf3grate,team1_arate,team1_opparate,team1_stlrate,team1_oppstlrate,team2_fg2pct,team2_fg3pct,team2_ftpct,team2_blockpct,team2_oppfg2pct,team2_oppfg3pct,team2_oppftpct,team2_oppblockpct,team2_f3grate,team2_oppf3grate,team2_arate,team2_opparate,team2_stlrate,team2_oppstlrate,team1_tempo,team1_adjtempo,team1_oe,team1_adjoe,team1_de,team1_adjde,team2_tempo,team2_adjtempo,team2_oe,team2_adjoe,team2_de,team2_adjde,team1_lat,team1_long,team2_lat,team2_long,team1_coaches_preseason,team2_coaches_preseason,team1_ap_preseason,team2_ap_preseason,team1_coaches_final,team2_coaches_final,team1_ap_final,team2_ap_final
2022-1124-1246,1124,1246,2022,1,2,W01,W02,1,2,W,W,R4W1,philadelphia,39.95,-75.1667,Baylor,Kentucky,scott-drew-1,Scott Drew,9.0,9.0,5.0,5.0,1.0,1.0,398,221,232,26,6,26,6,418,john-calipari-1,John Calipari,9.0,20.0,8.0,15.0,4.0,6.0,365,100,240,26,7,26,7,810,53.5037098103875,34.5578231292517,69.7841726618705,9.56140350877193,49.4736842105263,29.9373040752351,70.0836820083682,7.33718054410552,37.7310061601643,35.8830146231721,56.1461794019934,55.4966887417219,0.128090117302386,0.0935693764691187,53.686327077748,34.9397590361446,73.0017761989343,10.996015936255,47.1713147410359,30.3116147308782,71.5447154471545,6.4343163538874,28.0270139893874,36.0020397756247,52.9880478087649,46.2779156327543,0.0984079466594094,0.0870866784596544,68.5501,67.2399,111.13,117.874,92.7023,91.5576,69.3278,67.3441,114.407,120.13,95.4126,93.5739,31.545956,-97.119359,38.028081,-84.510698,8.0,11.0,8.0,10.0,4.0,6.0,4.0,7.0
2022-1124-1345,1124,1345,2022,1,3,W01,W03,1,3,W,W,R4W1,philadelphia,39.95,-75.1667,Baylor,Purdue,scott-drew-1,Scott Drew,9.0,9.0,5.0,5.0,1.0,1.0,398,221,232,26,6,26,6,418,matt-painter-1,Matt Painter,12.0,13.0,5.0,5.0,0.0,0.0,382,190,195,27,6,27,6,407,53.5037098103875,34.5578231292517,69.7841726618705,9.56140350877193,49.4736842105263,29.9373040752351,70.0836820083682,7.33718054410552,37.7310061601643,35.8830146231721,56.1461794019934,55.4966887417219,0.128090117302386,0.0935693764691187,56.0592850915432,39.4594594594595,70.3918722786647,10.0,49.0598290598291,33.6217552533993,72.3970944309927,6.71316477768091,39.2156862745098,40.8792319353209,59.0374331550802,53.0732860520095,0.0688499139376076,0.0841498948126315,68.5501,67.2399,111.13,117.874,92.7023,91.5576,66.5745,65.8191,119.206,121.983,102.091,99.2547,31.545956,-97.119359,40.428206,-86.914435,8.0,7.0,8.0,7.0,4.0,9.0,4.0,10.0
2022-1124-1417,1124,1417,2022,1,4,W01,W04,1,4,W,W,R3W1,philadelphia,39.95,-75.1667,Baylor,UCLA,scott-drew-1,Scott Drew,9.0,9.0,5.0,5.0,1.0,1.0,398,221,232,26,6,26,6,418,mick-cronin-1,Mick Cronin,1.0,12.0,1.0,2.0,1.0,1.0,66,29,200,25,7,25,7,431,53.5037098103875,34.5578231292517,69.7841726618705,9.56140350877193,49.4736842105263,29.9373040752351,70.0836820083682,7.33718054410552,37.7310061601643,35.8830146231721,56.1461794019934,55.4966887417219,0.128090117302386,0.0935693764691187,49.5588235294118,35.1437699680511,73.6486486486486,9.57542908762421,47.3351400180668,32.2436849925706,72.2543352601156,7.86764705882353,31.5206445115811,37.8089887640449,50.0,51.1470985155196,0.102746176985998,0.066214202946532,68.5501,67.2399,111.13,117.874,92.7023,91.5576,67.1833,65.5765,111.821,116.067,94.6157,91.2261,31.545956,-97.119359,34.068892,-118.443901,8.0,2.0,8.0,2.0,4.0,12.0,4.0,11.0
2022-1124-1388,1124,1388,2022,1,5,W01,W05,1,5,W,W,R3W1,philadelphia,39.95,-75.1667,Baylor,St Mary's CA,scott-drew-1,Scott Drew,9.0,9.0,5.0,5.0,1.0,1.0,398,221,232,26,6,26,6,418,randy-bennett-1,Randy Bennett,7.0,7.0,1.0,1.0,0.0,0.0,479,199,199,25,7,25,7,479,53.5037098103875,34.5578231292517,69.7841726618705,9.56140350877193,49.4736842105263,29.9373040752351,70.0836820083682,7.33718054410552,37.7310061601643,35.8830146231721,56.1461794019934,55.4966887417219,0.128090117302386,0.0935693764691187,52.5423728813559,35.126582278481,76.6584766584767,6.58783783783784,46.9594594594595,34.446764091858,71.4285714285714,8.92060660124888,36.0524814603537,28.8033674082983,51.4180024660912,35.9223300970874,0.105258627579974,0.0919783334460519,68.5501,67.2399,111.13,117.874,92.7023,91.5576,65.5835,63.5231,106.095,109.744,93.3164,89.945,31.545956,-97.119359,29.451793,-98.564307,8.0,,8.0,,4.0,16.0,4.0,18.0
2022-1124-1400,1124,1400,2022,1,6,W01,W06,1,6,W,W,R4W1,philadelphia,39.95,-75.1667,Baylor,Texas,scott-drew-1,Scott Drew,9.0,9.0,5.0,5.0,1.0,1.0,398,221,232,26,6,26,6,418,chris-beard-1,Chris Beard,0.0,4.0,0.0,2.0,0.0,1.0,21,11,71,21,11,21,11,163,53.5037098103875,34.5578231292517,69.7841726618705,9.56140350877193,49.4736842105263,29.9373040752351,70.0836820083682,7.33718054410552,37.7310061601643,35.8830146231721,56.1461794019934,55.4966887417219,0.128090117302386,0.0935693764691187,50.8429458740018,32.3343848580442,74.8681898066784,10.1489757914339,46.0893854748603,31.8014705882353,66.9463087248322,9.3167701863354,36.0022714366837,33.6217552533993,53.598971722365,43.8622754491018,0.119312864172931,0.0912960782537814,68.5501,67.2399,111.13,117.874,92.7023,91.5576,64.188,63.1211,105.723,111.789,91.9048,91.4015,31.545956,-97.119359,30.28473,-97.737277,8.0,5.0,8.0,5.0,4.0,25.0,4.0,25.0
2022-1124-1293,1124,1293,2022,1,7,W01,W07,1,7,W,W,R4W1,philadelphia,39.95,-75.1667,Baylor,Murray St,scott-drew-1,Scott Drew,9.0,9.0,5.0,5.0,1.0,1.0,398,221,232,26,6,26,6,418,matt-mcmahon-1,Matt Mcmahon,2.0,2.0,0.0,0.0,0.0,0.0,153,66,66,30,2,30,2,153,53.5037098103875,34.5578231292517,69.7841726618705,9.56140350877193,49.4736842105263,29.9373040752351,70.0836820083682,7.33718054410552,37.7310061601643,35.8830146231721,56.1461794019934,55.4966887417219,0.128090117302386,0.0935693764691187,53.4690101757632,34.7094801223242,69.7588126159555,9.45378151260504,50.0,30.0613496932515,67.5949367088608,10.5457909343201,37.6945244956772,40.6483790523691,50.1863354037267,45.5357142857143,0.115522727563161,0.078207864235237,68.5501,67.2399,111.13,117.874,92.7023,91.5576,67.4595,65.8108,113.009,111.514,92.0871,95.1007,31.545956,-97.119359,36.61241,-88.323493,8.0,,8.0,,4.0,20.0,4.0,20.0
2022-1124-1314,1124,1314,2022,1,8,W01,W08,1,8,W,W,R2W1,fort_worth,32.74,-97.36,Baylor,North Carolina,scott-drew-1,Scott Drew,9.0,9.0,5.0,5.0,1.0,1.0,398,221,232,26,6,26,6,418,hubert-davis-1,Hubert Davis,0.0,0.0,0.0,0.0,0.0,0.0,24,9,9,24,9,24,9,24,53.5037098103875,34.5578231292517,69.7841726618705,9.56140350877193,49.4736842105263,29.9373040752351,70.0836820083682,7.33718054410552,37.7310061601643,35.8830146231721,56.1461794019934,55.4966887417219,0.128090117302386,0.0935693764691187,50.7142857142857,36.2068965517241,77.2194304857621,9.8145285935085,48.2998454404946,34.9206349206349,73.6961451247166,8.49206349206349,37.4379344587885,36.8780487804878,53.6184210526316,48.0314960629921,0.0766915521470421,0.0938293291631409,68.5501,67.2399,111.13,117.874,92.7023,91.5576,70.2181,70.1745,109.416,113.035,100.974,96.9911,31.545956,-97.119359,35.912165,-79.050969,8.0,20.0,8.0,19.0,4.0,,4.0,
2022-1124-1266,1124,1266,2022,1,9,W01,W09,1,9,W,W,R2W1,fort_worth,32.74,-97.36,Baylor,Marquette,scott-drew-1,Scott Drew,9.0,9.0,5.0,5.0,1.0,1.0,398,221,232,26,6,26,6,418,shaka-smart-1,Shaka Smart,0.0,8.0,0.0,1.0,0.0,1.0,19,12,154,19,12,19,12,291,53.5037098103875,34.5578231292517,69.7841726618705,9.56140350877193,49.4736842105263,29.9373040752351,70.0836820083682,7.33718054410552,37.7310061601643,35.8830146231721,56.1461794019934,55.4966887417219,0.128090117302386,0.0935693764691187,52.9356943150047,34.7204161248374,74.6963562753036,12.7316680096696,46.1724415793715,31.7251461988304,69.9300699300699,9.13327120223672,41.7480998914224,35.5324675324675,59.4011976047904,54.9367088607595,0.109310425929867,0.0985585807564371,68.5501,67.2399,111.13,117.874,92.7023,91.5576,71.4884,70.6965,103.451,109.786,98.5096,95.782,31.545956,-97.119359,43.038765,-87.928122,8.0,,8.0,,4.0,,4.0,
2022-1124-1362,1124,1362,2022,1,10,W01,W10,1,10,W,W,R4W1,philadelphia,39.95,-75.1667,Baylor,San Francisco,scott-drew-1,Scott Drew,9.0,9.0,5.0,5.0,1.0,1.0,398,221,232,26,6,26,6,418,todd-golden-1,Todd Golden,0.0,0.0,0.0,0.0,0.0,0.0,57,35,35,24,9,24,9,57,53.5037098103875,34.5578231292517,69.7841726618705,9.56140350877193,49.4736842105263,29.9373040752351,70.0836820083682,7.33718054410552,37.7310061601643,35.8830146231721,56.1461794019934,55.4966887417219,0.128090117302386,0.0935693764691187,53.9106145251397,34.6915017462165,69.2167577413479,11.5475255302435,48.3896307934014,28.9048473967684,71.0169491525424,9.0316573556797,44.4386963269529,30.4371584699454,46.9783352337514,43.2432432432432,0.109267256872059,0.0853788687299893,68.5501,67.2399,111.13,117.874,92.7023,91.5576,70.641,68.7097,107.272,110.729,94.4226,92.3538,31.545956,-97.119359,37.775564,-122.450977,8.0,,8.0,,4.0,,4.0,
2022-1124-1439,1124,1439,2022,1,11,W01,W11,1,11,W,W,R4W1,philadelphia,39.95,-75.1667,Baylor,Virginia Tech,scott-drew-1,Scott Drew,9.0,9.0,5.0,5.0,1.0,1.0,398,221,232,26,6,26,6,418,mike-young-1,Mike Young,1.0,6.0,0.0,0.0,0.0,0.0,54,35,279,23,12,23,12,353,53.5037098103875,34.5578231292517,69.7841726618705,9.56140350877193,49.4736842105263,29.9373040752351,70.0836820083682,7.33718054410552,37.7310061601643,35.8830146231721,56.1461794019934,55.4966887417219,0.128090117302386,0.0935693764691187,52.5154457193292,39.2768079800499,74.2919389978213,9.47546531302877,49.4077834179357,31.700288184438,74.4186046511628,9.44395410414828,41.4470284237726,36.9936034115139,55.3846153846154,50.6218905472637,0.0843484308051237,0.0978082867846647,68.5501,67.2399,111.13,117.874,92.7023,91.5576,63.4606,62.933,111.1,114.272,98.0541,96.3924,31.545956,-97.119359,37.237477,-80.434849,8.0,,8.0,,4.0,24.0,4.0,
